DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments 
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,15,11317.73333,3413.333333
948 - SIGNS & SYMPTOMS W/O MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,15,12845.86667,3630.133333
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,15,14720.4,6580.866667
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,28,10962.64286,5691.857143
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,32,19079.46875,11185.40625
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,66,14018.80303,7117.454545
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,50,13796.02,5099.96
069 - TRANSIENT ISCHEMIA,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,76,12445.86842,4740.342105
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,13,11583.46154,5750.846154
101 - SEIZURES W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,24,10954,4872.583333
149 - DYSEQUILIBRIUM,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,32,10228.15625,3983.5625
176 - PULMONARY EMBOLISM W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,29,13215.10345,6661.862069
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,78,21877.88462,12404.01282
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,11,13459.09091,8435.454545
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,150,15421.32,8213.366667
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,59,12634.64407,7259.220339
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,66,9609.621212,6148.454545
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,15,8569.866667,4511
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,181,16795.24309,9090.259669
194 - SIMPLE PNEUMONIA & PLEURISY W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,120,11634.21667,6387.866667
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,49,9216.428571,4568.265306
202 - BRONCHITIS & ASTHMA W CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,27,11432.40741,5153.074074
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,20,90951.1,37027.45
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,32,29338.71875,15176.5
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,21,59541.95238,21228.42857
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,17,31179,16037.47059
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,20,24192.35,12487.15
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,17,56736.58824,21517.76471
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,42,42945.35714,15695.61905
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,41,33363.34146,11425.34146
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,13,30344.15385,11149.69231
252 - OTHER VASCULAR PROCEDURES W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,42,46583.30952,20776.30952
253 - OTHER VASCULAR PROCEDURES W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,12,33821.5,15326.66667
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,68,24245.54412,11630.70588
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,33,16857.69697,7556.575758
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,38,12328.89474,5461.894737
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,11,24035.81818,12771.63636
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,46,19794.28261,6858.73913
291 - HEART FAILURE & SHOCK W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,213,17880.79812,9184.469484
292 - HEART FAILURE & SHOCK W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,117,14456.55556,6371.34188
293 - HEART FAILURE & SHOCK W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,51,9475.078431,4120.078431
300 - PERIPHERAL VASCULAR DISORDERS W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,28,11718.64286,5816.75
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,17,6824.764706,4192.411765
303 - ATHEROSCLEROSIS W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,12,9618.833333,3594.833333
305 - HYPERTENSION W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,41,7971.390244,3774.414634
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,43,16007.74419,7698.604651
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,61,10135.34426,5216.557377
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,69,8412.449275,3602.492754
312 - SYNCOPE & COLLAPSE,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,84,10224.0119,4420.190476
313 - CHEST PAIN,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,102,8790.245098,3423.137255
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,36,21877.88889,11301.16667
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,16,15608.625,6037.75
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,16,53514.4375,33291.125
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,21,27666.04762,16690.80952
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,37,14196.72973,7575.351351
377 - G.I. HEMORRHAGE W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,28,27842.32143,12130.92857
378 - G.I. HEMORRHAGE W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,105,14709.01905,6374.609524
389 - G.I. OBSTRUCTION W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,50,10499.36,5792.46
390 - G.I. OBSTRUCTION W/O CC/MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,25,8019.84,4258.6
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,41,16332.19512,7268
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,191,10605.2199,4552.188482
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,19,10842.78947,6293.736842
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,13,19223.53846,10943.53846
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,28,10734.64286,6293.464286
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,12,49723.33333,26888.91667
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,20,40129.3,21289.55
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,109,28620.61468,13743
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,22,34287.22727,18838.54545
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,42,24663.45238,11457.2381
536 - FRACTURES OF HIP & PELVIS W/O MCC,490004,ROCKINGHAM MEMORIAL HOSPITAL,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,VA - Charlottesville,21,9246.333333,4516.761905
